date,C-A100,C-A107,C-A108,C-A109,C-A11,C-A110,C-A111,C-A112,C-A113,C-A115,C-A117,C-A119,C-A12,C-A120,C-A121,C-A122,C-A123,C-A124,C-A125,C-A126,C-A127,C-A128,C-A129,C-A13,C-A130,C-A132,C-A133,C-A134,C-A135,C-A136,C-A137,C-A139,C-A14,C-A140,C-A141,C-A142,C-A144,C-A146,C-A147,C-A148,C-A15,C-A151,C-A155,C-A156,C-A16,C-A160,C-A163,C-A164,C-A166,C-A167,C-A168,C-A169,C-A17,C-A170,C-A171,C-A172,C-A173,C-A174,C-A175,C-A176,C-A177,C-A178,C-A179,C-A18,C-A181,C-A183,C-A184,C-A185,C-A187,C-A189,C-A191,C-A192,C-A193,C-A194,C-A195,C-A196,C-A197,C-A198,C-A199,C-A2,C-A20,C-A204,C-A206,C-A207,C-A208,C-A21,C-A210,C-A211,C-A212,C-A213,C-A214,C-A215,C-A216,C-A218,C-A22,C-A220,C-A221,C-A223,C-A225,C-A227,C-A228,C-A232,C-A235,C-A236,C-A237,C-A238,C-A239,C-A241,C-A242,C-A244,C-A248,C-A249,C-A25,C-A250,C-A251,C-A252,C-A254,C-A255,C-A256,C-A257,C-A258,C-A259,C-A26,C-A260,C-A261,C-A266,C-A27,C-A270,C-A271,C-A272,C-A273,C-A274,C-A277,C-A279,C-A28,C-A280,C-A282,C-A283,C-A284,C-A286,C-A287,C-A288,C-A289,C-A290,C-A294,C-A299,C-A3,C-A300,C-A302,C-A303,C-A304,C-A305,C-A308,C-A309,C-A31,C-A310,C-A312,C-A313,C-A316,C-A317,C-A318,C-A319,C-A32,C-A321,C-A322,C-A324,C-A328,C-A329,C-A35,C-A36,C-A37,C-A38,C-A39,C-A40,C-A41,C-A44,C-A46,C-A47,C-A49,C-A51,C-A52,C-A54,C-A55,C-A56,C-A57,C-A59,C-A6,C-A61,C-A62,C-A63,C-A64,C-A65,C-A67,C-A68,C-A69,C-A7,C-A70,C-A73,C-A74,C-A76,C-A77,C-A78,C-A79,C-A8,C-A80,C-A81,C-A83,C-A84,C-A85,C-A86,C-A89,C-A9,C-A90,C-A93,C-A96,C-A98,C-A99
02/01/2013 0:00,30,50,33,70,35,16,11,16,33,40,40,30,40,80,13,16,70,30,60,100,20,20,30,90,45,40,60,80,13,50,80,60,45,80,40,40,100,13,16,23,45,16,30,5,26,35,40,30,80,13,50,50,80,23,70,13,23,40,25,20,60,20,30,60,1,23,50,40,10,30,50,33,25,40,14,40,30,70,45,100,80,13,45,80,30,50,80,16,30,60,10,16,45,45,40,16,16,50,35,60,100,16,40,50,80,30,25,40,15,20,11,16,45,16,60,100,35,40,5,60,16,18,8,16,50,60,14,60,30,50,50,50,30,30,35,60,33,50,16,100,30,30,40,100,40,5,30,30,70,70,30,25,40,18,100,20,40,50,60,20,40,80,100,14,60,5,20,60,40,30,20,70,23,40,30,50,50,40,15,50,80,60,45,80,18,45,45,60,100,50,35,60,20,40,16,50,11,40,16,16,30,60,60,50,23,6,30,23,60,12,16,40,70,30,10,50,40
03/01/2013 0:00,20,50,33,25,35,16,11,16,33,20,20,20,40,25,13,16,25,30,25,25,20,20,25,50,45,40,25,25,13,50,25,25,45,20,25,14,15,13,16,23,45,16,35,5,26,35,40,20,25,13,15,25,15,23,25,13,23,40,25,20,15,20,20,22,1,23,20,25,10,30,50,33,25,25,14,40,30,5,45,20,40,13,45,25,25,50,25,16,30,22,10,16,45,45,40,16,16,100,35,25,25,16,40,50,40,30,25,40,15,20,11,16,45,16,25,22,35,40,5,20,16,18,8,16,50,20,14,20,20,25,25,25,14,25,35,14,33,20,16,25,4,20,40,25,40,5,25,25,20,20,30,25,40,18,35,20,22,50,20,20,40,14,50,14,25,5,40,25,40,30,20,25,23,40,30,25,50,40,15,50,10,30,45,25,18,45,45,25,15,14,35,22,20,15,16,50,11,40,16,16,30,25,20,20,23,6,30,23,22,12,16,40,6,30,10,20,15
04/01/2013 0:00,20,40,34,25,20,16,11,18,34,20,20,20,40,25,13,16,25,30,25,25,20,20,25,50,33,33,25,25,14,33,25,25,70,20,25,14,15,14,16,24,30,16,35,5,28,20,20,20,25,14,15,25,15,24,25,14,24,40,30,20,15,20,20,22,3,24,20,25,10,30,30,34,50,25,14,80,40,5,20,20,40,14,25,25,25,40,25,16,30,22,10,16,25,16,30,16,16,25,20,25,25,16,22,30,40,33,25,40,50,20,11,16,20,16,25,22,20,20,5,20,16,18,8,16,30,20,14,20,20,25,25,25,14,25,20,14,34,20,16,25,4,20,20,25,50,5,25,25,20,20,30,26,30,18,35,20,22,30,20,20,33,14,50,14,25,5,20,25,50,60,20,25,24,50,22,25,20,60,15,30,10,30,25,25,18,30,33,25,15,14,20,22,20,15,18,25,11,50,16,16,45,25,20,20,24,8,30,24,22,12,16,25,6,30,10,20,15
07/01/2013 0:00,20,40,33,25,20,16,11,23,33,20,20,20,45,25,13,16,25,100,25,25,20,20,25,50,33,33,25,25,100,33,25,25,100,50,25,14,33,18,16,33,100,16,100,5,100,20,20,20,25,33,50,25,50,33,25,33,33,50,100,33,50,20,20,22,1,33,20,25,10,33,30,33,100,25,14,100,100,45,20,20,100,80,25,25,25,100,25,16,100,22,33,16,25,16,100,16,16,25,20,25,25,16,22,100,100,33,25,20,20,20,11,16,20,16,25,22,20,20,5,20,16,18,8,16,50,20,14,20,20,25,25,25,14,25,20,14,33,50,16,25,4,20,20,25,33,5,25,25,20,20,33,26,100,18,50,20,22,50,20,20,33,14,50,14,25,5,20,25,50,100,33,25,33,50,22,25,20,50,15,100,10,100,25,25,18,50,33,25,50,14,20,22,16,50,80,25,11,100,16,16,45,25,20,20,33,33,33,33,22,12,16,25,6,100,8,20,8
08/01/2013 0:00,20,40,33,25,20,16,11,23,33,20,20,20,45,25,13,16,25,40,25,25,20,20,25,50,34,34,25,25,50,34,25,25,40,50,25,14,33,18,16,33,20,16,70,5,90,20,20,20,25,33,50,25,50,33,25,33,33,50,40,33,50,20,20,24,1,33,20,25,10,33,30,33,50,25,14,50,50,45,20,20,100,40,25,25,25,80,25,16,50,24,33,16,25,16,35,16,16,25,20,25,25,16,22,50,50,34,25,20,20,20,11,16,20,16,25,24,20,20,5,20,16,18,8,16,50,20,14,20,20,25,25,25,14,25,20,14,33,50,16,25,4,20,20,25,33,5,25,25,20,20,33,28,100,18,50,20,24,50,20,20,34,14,50,14,25,5,20,25,40,45,33,25,33,40,22,25,20,50,15,40,10,100,25,25,18,50,34,25,50,14,20,24,16,50,30,25,11,50,16,16,35,25,20,20,33,33,33,33,24,12,16,25,6,50,8,20,8
09/01/2013 0:00,20,40,34,13,20,20,15,24,34,20,20,20,23,33,15,20,33,40,6,13,20,16,33,6,10,23,16,10,50,26,26,10,40,23,13,14,34,18,20,34,20,20,30,5,90,20,20,20,14,34,20,10,16,34,10,34,34,30,40,34,33,11,20,10,1,34,20,16,10,34,26,34,50,33,14,50,50,26,20,26,100,40,25,20,10,60,10,20,50,26,34,20,25,16,35,20,20,100,20,10,13,20,24,50,50,26,25,20,20,16,15,20,20,20,10,23,20,20,5,20,20,13,5,20,26,20,14,20,20,20,6,12,14,12,20,14,34,10,20,100,4,6,20,33,34,5,11,10,20,20,34,8,30,10,33,14,20,26,20,23,70,70,33,14,16,5,4,6,40,45,34,20,34,40,24,33,20,26,15,40,10,70,25,33,10,26,26,10,33,14,20,20,18,10,30,25,15,50,20,20,35,14,5,20,34,34,34,34,20,12,20,25,6,50,8,20,8
10/01/2013 0:00,16,35,5,13,20,26,4,6,26,6,6,5,23,33,1,10,33,40,6,13,20,16,33,6,10,23,16,10,15,26,26,10,40,23,13,2,15,18,26,26,20,20,30,4,45,3,20,6,14,26,20,10,16,23,10,33,16,30,40,26,33,11,7,10,1,33,11,16,10,33,26,33,40,33,16,30,15,26,20,26,50,15,5,20,10,25,10,10,20,26,26,17,18,16,35,10,7,40,20,10,13,20,16,20,40,26,18,20,20,16,10,7,20,10,10,23,20,20,5,11,2,13,5,5,26,11,16,2,13,20,6,12,2,12,20,6,33,10,23,40,4,6,20,33,40,3,11,10,13,11,30,8,20,10,33,14,20,26,6,23,50,14,33,16,16,26,4,6,26,20,30,20,26,30,8,33,20,26,3,50,10,40,16,33,10,26,26,10,33,5,20,20,18,10,40,20,23,40,4,30,30,14,5,0,26,10,26,16,20,18,33,16,4,20,8,6,8
11/01/2013 0:00,16,35,5,14,6,26,4,6,26,6,6,5,24,34,1,10,34,40,6,14,20,16,34,6,10,24,16,10,15,28,28,10,40,24,14,2,15,18,26,26,20,20,30,4,45,3,40,6,14,26,20,10,18,23,10,33,16,30,40,26,34,11,7,10,8,33,11,18,10,33,28,33,40,34,14,30,15,28,18,28,50,15,5,20,10,25,10,10,20,28,26,17,18,20,35,10,7,40,14,10,14,20,16,20,40,28,18,20,20,16,10,7,20,10,10,24,14,16,5,11,2,14,5,5,28,11,6,2,13,20,6,12,2,12,10,6,33,10,23,40,6,6,16,34,40,3,11,10,13,11,30,8,20,10,34,14,20,28,6,24,50,16,34,18,18,26,4,6,26,20,30,20,26,30,8,34,20,28,3,50,10,40,16,34,10,28,28,10,34,5,10,20,18,10,40,20,23,40,4,30,30,14,5,0,26,10,26,16,20,9,33,16,4,20,8,6,8
14/01/2013 0:00,16,35,5,15,6,28,4,6,28,6,6,5,40,35,1,10,20,100,6,40,20,16,14,6,45,35,16,35,6,50,45,6,100,35,25,2,50,6,28,28,50,20,80,4,80,3,40,6,14,28,40,15,30,24,30,34,18,40,100,28,50,11,7,17,1,34,11,30,5,34,30,34,30,20,14,80,100,40,18,17,100,50,5,30,15,80,40,10,20,10,28,17,18,35,100,10,7,50,14,10,25,20,16,80,100,25,18,45,25,16,10,7,20,10,10,20,14,16,5,11,2,7,5,5,40,11,6,2,13,20,6,12,2,12,10,6,34,30,24,20,50,6,16,50,45,3,11,7,13,11,30,8,35,10,50,14,30,40,6,7,35,20,50,18,15,28,4,6,28,70,30,20,28,50,8,25,20,40,3,80,10,100,16,20,12,40,40,20,50,5,10,20,18,15,70,20,24,100,4,30,70,14,5,0,28,10,28,18,20,9,34,16,4,26,20,6,25
15/01/2013 0:00,16,35,5,15,6,7,4,6,4,6,6,5,40,35,1,10,20,40,6,40,20,16,14,6,45,35,16,35,6,50,45,6,15,35,25,2,50,6,17,7,35,20,30,4,80,3,40,6,14,4,40,15,30,4,30,10,8,40,20,12,50,11,9,17,1,7,11,30,5,15,30,14,40,20,14,40,30,40,18,17,90,20,5,30,15,50,40,10,20,10,7,19,18,35,35,10,9,50,14,10,25,20,16,25,40,25,18,45,25,16,10,9,20,10,10,20,14,16,5,11,2,7,5,5,40,11,6,2,13,20,6,12,2,12,10,6,15,30,10,20,50,6,16,50,45,3,11,7,13,11,17,8,35,10,50,14,30,40,6,7,35,20,50,18,15,7,4,6,35,15,5,20,7,20,8,25,20,40,3,40,10,30,16,20,12,40,40,20,50,5,10,20,18,15,25,20,14,30,4,11,10,14,5,0,7,7,8,8,20,9,4,16,4,26,20,6,25
